기업명,키워드,로고,카테고리,신입연봉,평균연봉,주소,사원수,홈페이지,기업형태,매출액_별도,매출액_연결,사업현황
티맥스소프트,#재무평가_상위9%,https://board.jinhak.com/BoardV1/Upload/Job/Company/CI/126628.jpg,,"4,466만원","7,070만원",경기 성남시 분당구 정자일로 45 지도,537명,http://kr.tmaxsoft.com/,중견기업,"1,409억","1,561억","티맥스소프트의 미들웨어 제품군은 대표 제품인 제우스(JEUS)와 웹 서버 제품인 웹투비(WebtoB)를 통해 대용량 트랜잭션 상황에서 안정적이고 고성능의 처리 환경을 제공하고 있다.

시스템 관리 솔루션 제품군에서는 시스마스터(SysMaster)를 통해 기업 내 애플리케이션 및 시스템을 통합 모니터링하고, 전산 인력의 생산성을 향상시키는 성능 모니터링 솔루션을 제공한다. 또한, 대규모 트랜잭션 증가에 완벽히 대응할 수 있는 인-메모리 데이터 그리드 솔루션인 인피니캐시(InfiniCache)와의 연계 판매를 통해 사업 영역을 확장하고 있다.

프레임워크 및 인터페이스 제품군은 차세대 시스템 구축과 기존 고객 업그레이드 사업을 중심으로 성장하고 있으며, 통합 미들웨어 플랫폼인 슈퍼프레임(SuperFrame)을 출시하여 클라우드 네이티브 환경 구축 솔루션을 제공하고 있다. 아울러, 통합 오픈소스 미들웨어 플랫폼인 하이퍼프레임(HyperFrame)을 통해 오픈소스 구축, 운영, 유지보수까지 전 과정의 올인원 서비스를 제공하며, 클라우드 중심의 오픈소스 미들웨어 환경 구축을 지원하고 있다."
전기아이피,#캐치추천,https://board.jinhak.com/BoardV1/Upload/Job/Company/CI/IQ5118.jpg,,"3,985만원","5,258만원","경기 성남시 분당구 대왕판교로644번길 49, 6층 지도",82명,http://chuanqico.com/,중견기업,"1,296억",,"전기아이피는 위메이드의 계열사로 온라인 동양 무협 RPG 게임인 '미르의 전설' IP 사업 부문을 분리하며 2017년에 설립된 기업이다. 미르의 전설 IP를 바탕으로 온라인, 웹, 모바일, HTML5 게임 IP사업과 드라마, 웹툰, 웹소설, 애니메이션 등 다양한 사업영역을 전개하고 있으며, 당사의 대표적인 게임인 미르의 전설2, 미르의 전설3 등을 서비스하고 있다. 지난 2020년 ‘미르의 전설2’ IP 정식 라이선스 계약을 맺은 모바일 HTML5 게임 ‘일도전세’와 모바일게임 ‘열염용성’, ‘열염무존’ 등 주요 게임들이 글로벌 시장에서 주목을 받으며, '1000만불 수출의 탑'을 수상하는 등 글로벌 영향력을 강화하고 있다.

전기아이피는 신작 블록체인 플랫폼 게임인 ‘전기 H5 for WEMIX’를 비롯해 ‘크립토네이도 for WEMIX’, ‘아쿠아토네이도 for WEMIX’ 등 후속작을 순차적으로 출시할 예정이다. 이를 통해 블록체인 플랫폼으로써 장점을 극대화하고 서비스 질적 기반을 구축할 예정이다."
아이스크림미디어,"#캐치추천, #재무평가_상위5%, #TOP중소",https://board.jinhak.com/BoardV1/Upload/Job/Company/CI/090475.jpg,,"3,372만원","4,590만원",경기 성남시 분당구 판교역로 225-20 지도,333명,http://www.i-screammedia.com/,중소기업,"1,231억",,"아이스크림미디어(i-Scream)는 2002년에 설립된 에듀테크 콘텐츠 플랫폼 기업이다. '아이스크림S'는 300만 건 이상의 교육 콘텐츠를 제공하고 있고, 전국의 93% 이상의 초등학교 교사가 활용한다. 아이스크림미디어는 디지털 교육이나 비대면 교육과 같이 변화하는 교육 시장의 니즈에 맞춰 인공지능, 사물인터넷, 빅데이터, 클라우드 등의 기술 개발을 지속하고 있다. 더불어 교양, 문화, 예술, 역사 등 다양한 주제의 멀티미디어와 도서를 출판하고 있다.

아이스크림미디어는 교사들과 학생들을 위한 프로그램을 모두 제공하고 있는 디지털 교육 플랫폼이다. 먼저 대표사업인 아이스크림S는 교사들이 직접 제작에 참여하고 수업에 활용하는 플랫폼으로 체계적인 교육 콘텐츠를 제공하며, 세계 이러닝 대회 대상을 수상했다. 아이스크림 교과서는 멀티미디어 디지털 콘텐츠로 온/오프라인 수업이 가능한 교과서이다. 이 외에도 코딩 교육 콘텐츠 '뚜루뚜루', AR/VR플랫폼, E커머스, 연구개발 등의 사업을 영위하고 있다.

2022년에는 '아이스크림S'를 전면 무료화하여 더 많은 공교육을 지원하고 있으며, 교사의 교육 목적에 따라 자유로운 활용이 가능한 '클래스툴' 서비스를 통해 맞춤형 에듀테크 기능을 제시했다. 더불어 '줌(ZOOM)'과 MOU를 체결하며 앞으로 영상회의와 관련한 솔루션 콘텐츠 분야의 신사업을 적극적으로 추진할 계획이다."
크림,#주요계열사,https://board.jinhak.com/BoardV1/Upload/Job/Company/CI/g123r.jpg,솔루션·SI·CRM·ERP,"3,913만원","4,737만원","경기 성남시 분당구 분당내곡로 131, 8층 (백현동,테크원타워) 지도",166명,https://kream.co.kr/,대기업,"1,222억",,"크림(KREAM)은 2020년 네이버의 자회사에서 출시되어 '리셀'이라는 새로운 소비 트렌드를 상품화 하여 개인 간 한정판 스니커즈 거래 중개 서비스를 선보였고, 2021년에 별도 법인으로 분사되었다. MZ세대를 중심으로 존재하던 리셀 트렌드는 점차 연령층을 확대해가며 퍼져갔고, 크림도 소비를 넘어 문화를 선도하는 플랫폼으로 성장하게 되었다. 크림은 중개 플랫폼에서 나아가 패션과 리셀 시장을 즐기는 소비자들이 상품과 콘텐츠를 기반으로 소통까지 할 수 있는 플랫폼을 제공한다.

2022년 6월, 크림은 한정판 스니커즈 거래를 넘어 개인 간 명품 거래로 사업 영역을 넓혔다. 자회사 '팹'을 통해 개인 간 명품 거래 지원 서비스 플랫폼 '시크'를 정식 출시했다. 시크에서는 전화번호, 계좌, 신용칻, 신분증, 사기내역 인증을 모두 거친 사용자만 판매를 할 수 있는 높은 신뢰 오쇼가 도입돼있다. 또한 '시크랩' 검수센터를 통해 철저한 검수 서비스도 제공한다. 2023년 기준 크림은 국내 리셀 시장의 거래액 약 70%를 차지하고 있다. 같은 해 일본의 한정판 거래 플랫폼이자 스니커덩크의 운영사 '소다'를 인수했고, 양사가 보유한 태국, 싱가포르, 인도네시아 등 해외 거점을 활용하여 사업을 확장하고 있다.

2024년 크림은 애플 공식 파트너사 라이크와이즈(Likewize)와 제휴하여 '내 폰 시세' 서비스를 오픈하며 개인 중고 스마트폰 거래 중개 사업에 진출했다. 또한, 공연 티켓 판매 사업에도 집중하고 있다. 2022년 'AOMIX FEST' 공연 티켓 판매로 사업을 시작하여 판매자에게 판매 페이지 제작과 마케팅 혜택을 제공하는 점을 강점으로 내세우고 있다. 또한 공연 IP를 활용하여 제작한 굿즈와 젊은 층에게 인기가 많은 공연장 근처의 숙박시설을 연계하여 판매하고 있다."
라이온하트스튜디오,"#재무평가_상위5%, #주요계열사",https://board.jinhak.com/BoardV1/Upload/Job/Company/CI/JC5329.jpg,솔루션·SI·CRM·ERP,"4,087만원","5,424만원","경기 성남시 분당구 분당내곡로 131, 14층 지도",391명,http://lionhearts.co.kr/,대기업,"1,183억",,"경기 성남시 분당구에 위치한 라이온하트스튜디오는 2018년에 설립되었으며 카카오게임즈의 자회사이다. 당사는 2021년에 북유럽 신화 스토리를 기반으로한 MMORPG 게임 <오딘: 발할라 라이징>을 정식 출시하여 한 달 만에 앱스토어와 구글플레이스토어에서 1위를 차지하는 등 높은 성과를 거두었다. 같은 해에는 이달의 우수 게임을 수상하였고, '2021 대한민국 게임대상'에서는 대통령상을 수상하기도 했다. 2022년에는 대만, 홍콩 및 마카오에서 게임을 정식으로 출시하여 대만 앱스토어에서 매출 1위에 올랐으며 2023년에는 일본 시장에 정식 출시했다.

2023년, 라이온하트스튜디오는 프로젝트 C, S, Q, V 라는 이름으로 4개의 다양한 장르의 신규 게임을 제작하고 있다. '프로젝트 C'는 서브컬처 수집 및 육성형 게임, '프로젝트 S'는 루트 슈터 게임, '프로젝트 Q'는 오딘 IP를 바탕으로 한 MMORPG 게임, '프로젝트 V'는 캐주얼 RPG 게임으로 개발되고 있다. 2023년 6월에는 '프로젝트 V'의 원화를 공개하였으며 현재 언리얼 엔진 5를 활용하여 글로벌 모바일 플랫폼을 대상으로 개발 중이다."
로드컴플릿,#핫스타트업,https://board.jinhak.com/BoardV1/Upload/Job/Company/CI/F88781.jpg,,"4,546만원",,"경기 성남시 분당구 판교역로 225-18, 301호, 401호, 501호, 901호 (삼평동,이룸빌딩) 지도",140명,http://loadcomplete.com/,중소기업,"1,170억",,"2009년 설립된 로드컴플릿은 모바일 게임 개발사로, 창의적인 게임과 콘텐츠를 개발하는 것을 목표로 하고 있다. 로드컴플릿의 대표 게임으로는 ‘범핑베어’, ‘플레이칼레이’, ‘레전드 오브 슬라임’ 등이 있다. 특히, 유니티 3D 엔진을 활용해 다양한 플랫폼에서 게임을 서비스하며, 유저들에게 독특한 경험을 제공하고 있다.

로드컴플릿의 주요 사업으로는 모바일 게임 개발 및 퍼블리싱이 있으며, 특히 ‘레전드 오브 슬라임’과 같은 캐주얼 RPG 게임에서 경쟁력을 가지고 있다. 로드컴플릿은 전 세계 MZ세대를 대상으로 한 방치형 RPG 게임을 주력으로 하며, 사용층을 넓히기 위해 다양한 스마트폰 및 PC 플랫폼의 게임을 제작한다.

2024년 로드컴플릿은 ‘레전드 오브 슬라임’의 글로벌 확장을 위해 앱퀀텀과의 퍼블리싱 계약을 체결했다. 이처럼 로드컴플릿은 경쟁력 강화를 위해 글로벌 캐주얼 퍼블리셔와 협력을 확대해 나갈 예정이다."
인포뱅크,"#캐치추천, #재무평가_상위8%",https://board.jinhak.com/BoardV1/Upload/Job/Company/CI/058595.jpg,,"4,034만원","6,028만원","경기 성남시 분당구 대왕판교로 660, 12층 지도",184명,http://www.infobank.net/,중견기업,"1,105억","1,369억","1995년 설립된 인포뱅크는 1세대 벤처기업으로서 국내 최초이자 최대 규모의 메시징 서비스 전문 코스닥 상장기업으로 시장을 선도해 왔다. 당사는 현재 주요 사업으로 기업용 메시징서비스, 양방향 미디어서비스, 스마트카 서비스, 모바일솔루션 등의 서비스사업을 진행하고 있다.

특히 주력하고 있는 모바일메시징서비스는 기업형 대량발송메시지(연동형 메시징서비스 및 웹발송 메시징서비스) 외에도 국내외 메신저(카카오톡, 라인, 페이스북 등) 및 챗봇·보이스챗봇(카카오, 네이버, 구글 등)을 연동한 메시징·상담·챗봇 서비스로 사업을 계속 확장하고 있다. 모바일메시징서비스 중 대부분의 매출을 차지하는 기업형 문자메시지서비스의 주요 고객은 금융권 외에 포털, 인터넷기업 등 IT 기업 및 유통 관련 기업으로 구성되어 있어, 현재 농협정보시스템, 카카오뱅크, 네이버 등 다수의 안정적인 고정거래처를 확보하고 있다.

또한 MO기술을 활용하여 오디션 문자투표, 다채널 실시간 방송 문자 참여 (TV, 라디오, 유튜브, 전광판 등)의 다양한 양방향 미디어서비스를 제공하고 있다. 스마트카 서비스 부문은 커넥티드 카 솔루션 구축 기술을 토대로 자율주행 이동체 관제 플랫폼 사업을 선도하고 있으며, 주요서비스는 자율주행 플랫폼 개발이다."
윈스,#재무평가_상위6%,https://board.jinhak.com/BoardV1/Upload/Job/Company/CI/H15462.jpg,,"5,000만원",,"경기 성남시 분당구 판교로228번길 15 (삼평동,판교세븐벤처밸리1) 지도",496명,http://www.wins21.com/,중견기업,"1,017억","1,069억","윈스는 정보보안솔루션 개발 및 네트워크 보안 관련 소프트웨어 개발 사업을 영위하고 있다. 2011년 나우콤의 네트워크 보안사업부문을 인적 분할하여 설립되었으며, 같은 해 KOSDAQ에 재상장했다. 윈스는 네트워크 보안제품 부문에서 2000년대 초반부터 15년 이상 침입방지솔루션 시장에서 점유율 1위를 유지하며 사업을 선도하고 있으며, 앞으로도 사업 경쟁력을 강화할 계획이다.

서비스 분야에서는 24시간 원격 및 파견 관제서비스와 AI 보안관제 플랫폼을 제공하고 있으며, 클라우드 보안서비스를 2014년부터 대형 클라우드 사업자와 협약을 통해 시작해 2020년부터 MSP 사업을 본격화했다. 클라우드 인프라 구축, 운영, 보안관제 및 컨설팅 서비스를 제공하며, 공공기관을 포함한 다양한 고객층으로 사업을 확대하고 있다."
엠디에스테크,,https://board.jinhak.com/BoardV1/Upload/Job/Company/CI/031692.jpg,,"3,295만원","4,941만원","경기 성남시 분당구 대왕판교로644번길 49, 9층 (삼평동,디티씨타워) 지도",133명,http://www.mdstech.co.kr/,중견기업,962억,"1,553억","1994년 설립된 엠디에스테크는 임베디드 솔루션 전문 기업으로, 개발 기간을 단축하고 효율성을 높이는 데 필요한 토탈 솔루션을 국내 유일하게 제공하고 있다. 당사는 SW 개발의 전 과정을 지원할 수 있는 안정적인 사업체계를 갖추고 있으며, 자동차, 국방/항공, 모바일, 디지털기기, 산업자동화 등을 포함한 여러 산업분야에 1,500개 이상의 고객사를 확보하는 등 광범위한 비즈니스 네트워크 확보하고 있다.

최근에는 토탈 헬스케어 서비스 기업인 '케어링크'를 인수했다. 엠디에스테크가 보유한 AI 기술 및 클라우드 서비스를 '케어링크'의 헬스케어 기술과 결합하여 데이터 분석을 기반으로하는 디지털 헬스케어 사업을 추진할 예정이다. 당사는 기존에 주력하던 임베디드 솔루션 사업에서 디지털 헬스케어 사업, 클라우드, 메타버스 등의 분야에 진출하며 향후 수익 창출을 위하여 적극적으로 사업을 확장중에 있다."
엠티데이타,#캐치추천,https://board.jinhak.com/BoardV1/Upload/Job/Company/CI/C95289.jpg,,"3,234만원",,"경기 성남시 분당구 판교로255번길 9-22, 514호 (삼평동,우림더블유시티) 지도",167명,http://www.mtdata.co.kr/,중소기업,933억,,"2008년 설립된 엠티데이타는 정보시스템 구축 및 운영 유지관리 서비스를 제공하는 IT 전문 기업이다. 당사는 클라우드, 빅데이터, 인공지능(AI) 등 최신 기술을 활용해 다양한 솔루션을 제공하며, 공공 및 민간 기업을 대상으로 폭넓은 IT 인프라 및 컨설팅 서비스를 수행한다.

엠티데이타의 주요 사업으로는 시스템 통합 유지관리 및 운영, 정보시스템 운영컨설팅, 이전 등이 있다. 이들은 공공, 국방, 제조, 금융 분야에서 시스템의 안정적 운영과 유지보수를 지원하며, 최신 정보기술을 반영한 운영환경 개선 컨설팅을 제공한다. 또한, 다양한 하드웨어 및 소프트웨어 제품군을 통합하여 고객 맞춤형 시스템을 구축한다.

2024년 엠티데이타는 인공지능과 빅데이터 기술을 클라우드 서비스에 접목해 사업을 확장했다. 나무기술과의 협력을 통해 클라우드 네이티브 플랫폼을 공동 개발하고 있으며, CNC 가공 단계에서 AI 기반 치수 보정 프로그램을 개발해 생산 공정의 자동화와 불량률 감소를 이끌고 있다."
엔테크서비스,#주요계열사,https://board.jinhak.com/BoardV1/Upload/Job/Company/CI/H51958.jpg,솔루션·SI·CRM·ERP,"3,691만원","5,157만원","경기 성남시 분당구 황새울로 246, 에이동 2층,3층,5층,6층,8층,12층,비동 3층 지도",731명,http://www.nts-corp.com/,대기업,873억,,"엔테크서비스는 NAVER에 경영지원 서비스를 지원하는 NAVER I&S의 100% 자회사로 2011년 설립되었으며, NAVER 및 NAVER Cloud, LINE, WORKS MOBILE 등 범 NAVER 플랫폼에 대해 다양한 기술서비스를 제공하고 운영하는 전문 기업이다. 2020년 64억원에 달하는 영업 수익을 달성하였으며, 매출 전액이 NAVER 및 NAVER 계열 플랫폼으로부터 발생하고 있다. 주로 소프트웨어 개발, UIT 개발, 운영디자인 설계, 테스팅, 지도 DB 개발 등의 기술 서비스를 제공하고 있다.

NTS 개발실은 NAVER의 백엔드 시스템 지원 및 운영을 통해 사용자의 불편함 없는 네이버 서비스 이용을 지원하고 있으며, 소프트웨어 교육 플랫폼 엔트리, 온라인 기부 포털 해피빈, 온라인 공개 수업 플랫폼 edwith 등을 개발 및 고도화하여 사회적 가치 실현에 기여하고 있다. 또한, NTS UX 디자인의 역량과 경험을 공유하여 스타트업 성장과 발전을 돕기 위해 D2 스타트업 팩토리의 오피스아워 프로그램을 운영하고 있다. 온라인 B2C/B2B 서비스 및 스마트워크 환경 구현을 위한 특화된 기술력을 토대로 기업고객에게 차별화된 가치를 전달하고자 노력하고 있다."
비트망고,,https://board.jinhak.com/BoardV1/Upload/Job/Company/CI/127285.jpg,,"5,116만원",,"경기 성남시 분당구 대왕판교로645번길 14, 3층 지도",38명,http://www.bitmango.com/,중견기업,822억,,"비트망고는 2011년에 설립된 글로벌 게임 퍼블리싱 기업으로 전세계 유저들에게 다양한 게임을 제공하고 있다. 비트망고는 2019년 '퍼즐원스튜디오'으로 게임 개발 부문을 독립시킨 후, 모바일 게임 퍼블리싱 서비스를 주사업으로 영위하고 있다. 비트망고는 9억 건 이상의 누적 다운로드를 기록하며 북미 시장에서 강한 입지를 구축한 글로벌 게임회사로 성장하였으며 매출의 대부분이 해외에서 창출되고 있다. 2020년에는 7천만불 수출의 탑을 수상하였으며 2021년에는 1억불 수출의 탑을 수상하며 빠른 성장을 이루어내고 있다.

비트망고의 대표 게임으로는 글로벌에서 2억 이상의 다운로드를 기록한 'Roll the Ball', 북미에서 상위 랭크된 'Block! Hexa Puzzle', 2017년 Apple 올해의 게임으로 뽑힌 'Wordcookies'이 있다. 이외에도 'Bubble Pop!', 'Lollipop & Marshmallow Match3' 등 100개 이상의 다양한 게임을 성공적으로 퍼블리싱했다. 비트망고는 유저들의 피드백과 데이터를 분석하여 게임을 개선하는 등 지속 가능한 성장을 위해 노력하고 있다."
쿡앱스,#캐치추천,https://board.jinhak.com/BoardV1/Upload/Job/Company/CI/F89551.jpg,,"5,693만원",,"경기 성남시 분당구 대왕판교로 660, B동 801호 (삼평동,유스페이스1) 지도",263명,http://www.cookapps.com/,중소기업,806억,,"""세상을 즐겁게!”
북미부터 유럽까지. 글로벌 유저들이 사랑하는 게임 제작사 쿡앱스. 업계 최고 수준의 게임 제작자들이 모여, 세상을 더 재미있게 바꿔 나가고 있습니다.

“글로벌 누적 다운로드 3억 5천만 돌파”
2019년 이후 2년 만에 누적 2억 명. 2023년 쿡앱스는 전 세계 20명 중 1명이 즐긴 게임을 세상에 선보였습니다. 네이버, 카카오와 함께 글로벌 다운로드 수 기준 상위 아홉 번째 국내 퍼블리셔에 오른 쿡앱스. 한국을 넘어 매일 200만 명의 전 세계 유저들과 호흡하는 글로벌 게임 제작사로 도약했습니다."
알앤비소프트,,https://board.jinhak.com/BoardV1/Upload/Job/Company/CI/215046.jpg,,"3,040만원","4,100만원","경기 성남시 분당구 구미로 8, 3층 (구미동,분당엠타워) 지도",201명,http://www.rnbsoft.com/,중소기업,788억,,"2003년에 창립해 무선 통신 빌링 사업을 시작한 알앤비소프트는 현재 IT 솔루션 서비스 구축 사업을 영위하고 있는 기업이다. 당사는 통신, 금융, CRM, 클라우드 서비스, 빅데이터, IT 컨설팅 개발 및 서비스를 주요 사업으로 하며, 2018년에 금융기관을 대상으로 시스템을 구축하는 기업인 '줌인테크'를 인수해 금융 사업 분야를 강화했다. 알앤비소프트의 협력사로는 KT, LG U+, 신한은행, 서울아산병원, GC녹십자, 코닥 등의 기업들이 있다.

알앤비소프트의 사업 분야는 ICT, 금융, 의료와 신사업으로 나누어진다. 2003년에 설립된 ICT 분야에서는 알앤비소프트의 통신분야 플랫폼 구축 경험을 바탕으로 통신 인프라 패키지, 모바일 컨텐츠, CRM을 비롯한 IT 전 영역에 대해 아웃소싱과 컨설팅을 수행하고 있다. 금융 분야에서는 금융 기업들의 시스템과 프로젝트, 서비스 개발과 구축을 지원하고 있으며, 의료 분야에서는 AI 솔루션과 빅데이터 분석 자료, 렌탈 플랫폼을 운영 중이다. 마지막으로 신사업 분야는 디지털 프린팅 부문으로, 디지털 프린터와 관련된 기계들을 공급하는 사업 등을 담당하고 있다.

2021년에는 알앤비소프트가 '디비아이엔씨'와 데이터 기반 사업을 위한 업무협약을 체결했는데, 중견 금융 기업들을 대상으로 마이데이터와 정보계 사업, 마케팅 플랫폼 구축 사업을 추진하기 위함이었다. 한편, 알앤비소프트의 사업 실적으로는 2021년 미래에셋캐피탈 정보처리시스템 유지보수와 한국수출입은행 원화 유가증권 시스템 구축 등이 있고, 2022년에는 KT 마이데이터 사업자 시스템을 구축했다."
엑스엘게임즈,#주요계열사,https://board.jinhak.com/BoardV1/Upload/Job/Company/CI/391009.jpg,게임,"3,563만원","5,376만원","경기 성남시 분당구 대왕판교로645번길 14, 7층,8층 (삼평동,네오위즈판교타워) 지도",492명,http://www.xlgames.com/,대기업,778억,,"엑스엘게임즈는 2003년에 설립된 카카오게임즈의 자회사로, 게임 소프트웨어 개발과 서비스 제공을 주요 사업으로 하고 있다. 당사는 다양한 플랫폼에서 게임을 서비스하며, 글로벌 시장에서도 활발한 활동을 이어가고 있다.

주요 사업으로는 아키에이지, 아키월드, 아키에이지워, 달빛조각사: 다크게이머와 같은 게임이 있다. 아키에이지는 2013년 국내 시장에 진출한 이후 일본, 러시아, 중국 등 여러 나라에서도 서비스되고 있으며, 블록체인 기술을 접목한 아키월드는 2022년과 2023년에 각각 아시아와 미주 지역에 출시되었다. 이 게임은 방대한 세계관과 높은 자유도를 제공하며, 지속적인 업데이트를 통해 유저들의 지지를 받고 있다.

2024년에는 아키에이지워와 달빛조각사: 다크게이머의 서비스를 주력으로 하고 있다. 아키에이지워는 2023년 3월에 국내 서비스를 시작하였으며, 전 세계 2천만 명 이상의 유저에게 사랑받는 PC MMORPG '아키에이지'를 기반으로 한 모바일 MMORPG이다. 이 게임은 해상전과 같은 차별화된 콘텐츠로 유저들의 호응을 얻고 있으며, 당해 6월 대만, 일본, 동남아시아 등 9개 지역에 출시됐다. 달빛조각사: 다크게이머는 오리지널 스토리를 기반으로 한 모바일 MMORPG로, 2023년 9월 국내와 아시아 지역에서 서비스를 시작했으며, 일본 서비스도 예정되어 있다. 앞으로도 엑스엘게임즈는 PC 및 모바일 게임의 신규 출시를 통해 사업을 확장할 계획이다."
티맥스티베로,"#재무평가_상위6%, #TOP중소",https://board.jinhak.com/BoardV1/Upload/Job/Company/CI/LF8499.jpg,,"4,700만원","5,104만원",경기 성남시 분당구 정자일로 45 지도,478명,http://www.tmaxtibero.com/,중소기업,747억,,"Tmax Tibero는 Tibero만의 독자적인 기술을 바탕으로 Global 기업인 Oracle과 경쟁하고 있는 국내 최고의 DBMS 회사로 기업,기관 등 1,200여 고객사와 7,500여 레퍼런스를 보유하고 있습니다.
(* 주요 고객사 : 현대, KT, 삼성전자, 신한은행, 행정안전부, 국방부 등)

[Tmax Tibero의 주요 제품]
- Tibero 7
- ZetaData
- Prosync
- SysmasterDB"
한국정보인증,"#재무평가_상위8%, #주요계열사",https://board.jinhak.com/BoardV1/Upload/Job/Company/CI/109429.jpg,솔루션·SI·CRM·ERP,"4,500만원","7,200만원","경기 성남시 수정구 금토로 69, 6층 (금토동,다우디지털스퀘어) 지도",173명,http://www.kica.co.kr/,중견기업,716억,922억,"한국정보인증은 국내 최초 인증기관으로, 인증서사업, PKI 솔루션사업, OTP(일회용 비밀번호) 사업, SSL(웹보안서버) 사업, 바이오인증 사업을 운영하는 통합 보안인증 기업이다. 인증서 사업에서는 공동인증서와 서버인증서를 발급하며, 2023년 인증서 발급 사업 부문 매출은 433억 원으로 전체 매출 716억 원의 60.4%를 차지하였다.

PKI 솔루션사업에서는 전자구매와 전자세금계산서 등 온라인 상거래 시스템에 필요한 솔루션을 제공하고 있다. OTP 사업에서는 하드웨어 OTP, 소프트웨어 OTP, Secure AnyOTP를 생산 및 관리하며, 주요 고객으로 시중은행과 일반 기업을 확보하고 있다.

또한, 한국정보인증은 인증 기술과 FIDO 기술을 연계한 생체 기반 인증서와 SSL(보안서버 인증서) 서비스를 제공하며, 지속적인 기술 개발과 서비스 확장을 통해 경쟁력을 강화하고 있다. 다양한 인증서 발급과 PKI 솔루션 개발을 통해 신뢰성 높은 서비스를 제공하며, SSL 및 OTP 제품으로 웹보안과 금융보안 분야에서 확고한 입지를 다지고 있다."
스노우,#주요계열사,https://board.jinhak.com/BoardV1/Upload/Job/Company/CI/HS7855.jpg,솔루션·SI·CRM·ERP,"3,680만원","6,872만원","경기 성남시 분당구 불정로 6, 15층 (정자동,그린팩토리) 지도",374명,http://www.snowcorp.com/,대기업,685억,,"스노우는 2016년에 설립된 기업으로, AI 기술을 활용하여 다양한 필터와 사진 편집 기능을 제공하는 여러 앱으로 구성된 스노우 패밀리를 운영하고 있다. 주요 앱으로는 스노우, B612, Foodie, SODA, EPIK, VITA, GlowUp 등이 있으며, 사용자에게 뛰어난 사진 및 동영상 편집 기능을 제공한다. 특히 AR 카메라와 얼굴 인식 필터가 인기를 끌고 있다.

스노우는 AI 프로필과 EPIK의 Yearbook 기능의 흥행으로 수익성을 크게 향상시켰으며, AR 필터와 디스플레이 광고 상품을 통해 사용자에게 새로운 경험을 제공하고 매출을 창출하고 있다. 또한, 스노우 API를 통해 고객사의 플랫폼에서도 스노우 필터 효과를 구현할 수 있도록 기술 제휴를 진행하고 있다.

최근 스노우는 금융 앱과의 기술 제휴를 통해 사용자 개인화 서비스를 제공하며 새로운 사업 기회를 창출하고 있다. 2023년에는 구글플레이에서 올해의 베스트 앱으로 선정되었으며, AI 프로필 서비스 등을 통해 매출이 255% 증가하였다. 이러한 성과를 바탕으로 스노우는 지속적인 성장과 혁신을 이어가고 있다."
상상인,"#캐치추천, #재무평가_상위2%",https://board.jinhak.com/BoardV1/Upload/Job/Company/CI/657808.jpg,,"3,859만원","5,815만원",경기 성남시 분당구 황새울로 358 지도,208명,http://www.sangsanginworld.co.kr/,중견기업,675억,"8,703억","1989년 설립된 상상인은 네트워크 설계, 장비공급 및 설치, 유지보수 등의 종합적인 IT 서비스를 시작으로 금융과 증권을 주 사업으로 하는 금융 서비스, 조선소 엔지니어링과 조선 자동화 설비를 공급하는 중공업 서비스를 영위하고 있다. 당사는 IT, 금융, 중공업분야에 있어 기술력을 갖춘 기업으로 세계적인 기업과 전략적 파트너십을 유지하며 글로벌 파트너로 성장하고 있다.

IT분야에서는 보안 시스템, 통합 커뮤니케이션, SDN(소프트웨어 정의 네트워크), 클라우드 등 기업 가치 실현에 반드시 필요한 차별화된 솔루션을 바탕으로 정보통신 네트워크의 컨설팅 및 설계, 구축, 유지보수까지 전 단계에 걸친 맞춤형 통합 유무선 네트워크 서비스를 제공하고 있다.

금융분야에서는 상상인저축은행, 상상인플러스저축은행, 상상인증권, 상상인플러스를 운영하며 금융파트너가 되기 위해 노력하고 있다. 중공업분야에서는 조선소 현대화, 신규 조선소 건설시 컨설팅 작업을 제공하는 솔루션 제공 전문업체 상상인 선박기계와, 해상크레인 전문업체 상상인 인더스트리를 운영하고 있다.

상상인은 IT, 금융, 중공업 분야에서 입지를 다지고 있으며 최근에는 ESG경영의 일환으로 생활 속 탄소중립 환경 만들기에 앞장서고 있다."
