기업명,링크
전기아이피,https://www.catch.co.kr/Comp/CompSummary/IQ5118
아이스크림미디어,https://www.catch.co.kr/Comp/CompSummary/090475
크림,https://www.catch.co.kr/Comp/CompSummary/MB5402
라이온하트스튜디오,https://www.catch.co.kr/Comp/CompSummary/JC5329
로드컴플릿,https://www.catch.co.kr/Comp/CompSummary/F88781
인포뱅크,https://www.catch.co.kr/Comp/CompSummary/058595
윈스,https://www.catch.co.kr/Comp/CompSummary/H15462
엠디에스테크,https://www.catch.co.kr/Comp/CompSummary/031692
엠티데이타,https://www.catch.co.kr/Comp/CompSummary/C95289
엔테크서비스,https://www.catch.co.kr/Comp/CompSummary/H51958
비트망고,https://www.catch.co.kr/Comp/CompSummary/127285
쿡앱스,https://www.catch.co.kr/Comp/CompSummary/F89551
알앤비소프트,https://www.catch.co.kr/Comp/CompSummary/215046
엑스엘게임즈,https://www.catch.co.kr/Comp/CompSummary/391009
티맥스티베로,https://www.catch.co.kr/Comp/CompSummary/LF8499
한국정보인증,https://www.catch.co.kr/Comp/CompSummary/109429
스노우,https://www.catch.co.kr/Comp/CompSummary/HS7855
상상인,https://www.catch.co.kr/Comp/CompSummary/657808
퍼즐원스튜디오,https://www.catch.co.kr/Comp/CompSummary/JK5005
플레이링스,https://www.catch.co.kr/Comp/CompSummary/F99150
게임듀오,https://www.catch.co.kr/Comp/CompSummary/JS1695
폭스소프트,https://www.catch.co.kr/Comp/CompSummary/479126
마이다스아이티,https://www.catch.co.kr/Comp/CompSummary/156246
소만사,https://www.catch.co.kr/Comp/CompSummary/127185
네이버제트,https://www.catch.co.kr/Comp/CompSummary/LF6408
데이타헤븐,https://www.catch.co.kr/Comp/CompSummary/213300
트루본,https://www.catch.co.kr/Comp/CompSummary/CC4404
유엔젤,https://www.catch.co.kr/Comp/CompSummary/122644
이노피아테크,https://www.catch.co.kr/Comp/CompSummary/171163
아세테크,https://www.catch.co.kr/Comp/CompSummary/024874
차케어스,https://www.catch.co.kr/Comp/CompSummary/262183
위메이드플레이,https://www.catch.co.kr/Comp/CompSummary/F25165
한국네트웍스,https://www.catch.co.kr/Comp/CompSummary/153529
슈어소프트테크,https://www.catch.co.kr/Comp/CompSummary/218805
알테어엔지니어링,https://www.catch.co.kr/Comp/CompSummary/897053
엔드림,https://www.catch.co.kr/Comp/CompSummary/HH9375
DK테크인,https://www.catch.co.kr/Comp/CompSummary/HH9152
라인넥스트,https://www.catch.co.kr/Comp/CompSummary/OT1130
베니토,https://www.catch.co.kr/Comp/CompSummary/M22506
파우게임즈,https://www.catch.co.kr/Comp/CompSummary/JI4129
티앤케이팩토리,https://www.catch.co.kr/Comp/CompSummary/H65867
와이즈넛,https://www.catch.co.kr/Comp/CompSummary/170094
이루온아이앤에스,https://www.catch.co.kr/Comp/CompSummary/173352
그라운드엑스,https://www.catch.co.kr/Comp/CompSummary/JA8776
포티투닷,https://www.catch.co.kr/Comp/CompSummary/JM6578
비젠트로,https://www.catch.co.kr/Comp/CompSummary/H62485
에이케이인터렉티브,https://www.catch.co.kr/Comp/CompSummary/C43985
모비젠,https://www.catch.co.kr/Comp/CompSummary/168558
하이브랩,https://www.catch.co.kr/Comp/CompSummary/I07108
라인스튜디오,https://www.catch.co.kr/Comp/CompSummary/IV7974
하만커넥티드서비시즈인크,https://www.catch.co.kr/Comp/CompSummary/J77180
바이텍씨스템,https://www.catch.co.kr/Comp/CompSummary/187798
다날엔터테인먼트,https://www.catch.co.kr/Comp/CompSummary/J08008
슈퍼진,https://www.catch.co.kr/Comp/CompSummary/HW0101
이루온,https://www.catch.co.kr/Comp/CompSummary/165673
NIT서비스,https://www.catch.co.kr/Comp/CompSummary/M14288
에스비티글로벌,https://www.catch.co.kr/Comp/CompSummary/F41575
구하다,https://www.catch.co.kr/Comp/CompSummary/JN1987
썬더소프트코리아,https://www.catch.co.kr/Comp/CompSummary/HT6229
라인파이낸셜,https://www.catch.co.kr/Comp/CompSummary/JB0009
하이디어,https://www.catch.co.kr/Comp/CompSummary/I13332
지엠티,https://www.catch.co.kr/Comp/CompSummary/220931
엔셀,https://www.catch.co.kr/Comp/CompSummary/690568
엠디에스인텔리전스,https://www.catch.co.kr/Comp/CompSummary/LI6247
케이엠파킹앤스페이스,https://www.catch.co.kr/Comp/CompSummary/CC0217
모아데이타,https://www.catch.co.kr/Comp/CompSummary/L65171
지란지교시큐리티,https://www.catch.co.kr/Comp/CompSummary/M21443
슈퍼캣,https://www.catch.co.kr/Comp/CompSummary/HO6990
와디즈파이낸스,https://www.catch.co.kr/Comp/CompSummary/I08137
마이다스인,https://www.catch.co.kr/Comp/CompSummary/JZ5422
엔키아,https://www.catch.co.kr/Comp/CompSummary/171627
네이버아이앤에스,https://www.catch.co.kr/Comp/CompSummary/C80086
투비웨이,https://www.catch.co.kr/Comp/CompSummary/098488
넵튠,https://www.catch.co.kr/Comp/CompSummary/EJ7492
그립컴퍼니,https://www.catch.co.kr/Comp/CompSummary/JF2900
디토닉,https://www.catch.co.kr/Comp/CompSummary/L92176
위메이드넥스트,https://www.catch.co.kr/Comp/CompSummary/HN1104
이에스이,https://www.catch.co.kr/Comp/CompSummary/175359
한컴위드,https://www.catch.co.kr/Comp/CompSummary/120424
키즈노트,https://www.catch.co.kr/Comp/CompSummary/I05452
알체라,https://www.catch.co.kr/Comp/CompSummary/HQ8757
플랜티넷,https://www.catch.co.kr/Comp/CompSummary/171292
이타스코리아,https://www.catch.co.kr/Comp/CompSummary/894162
구름,https://www.catch.co.kr/Comp/CompSummary/J01761
영구크린,https://www.catch.co.kr/Comp/CompSummary/G29160
쿤텍,https://www.catch.co.kr/Comp/CompSummary/HN0215
메타보라,https://www.catch.co.kr/Comp/CompSummary/HC5495
블루홀스튜디오,https://www.catch.co.kr/Comp/CompSummary/LZ0642
클로봇,https://www.catch.co.kr/Comp/CompSummary/IQ0133
님블뉴런,https://www.catch.co.kr/Comp/CompSummary/J07544
미디어젠,https://www.catch.co.kr/Comp/CompSummary/172777
이파피루스,https://www.catch.co.kr/Comp/CompSummary/999394
생활연구소,https://www.catch.co.kr/Comp/CompSummary/IL5404
투네이션,https://www.catch.co.kr/Comp/CompSummary/L80796
게임덱스,https://www.catch.co.kr/Comp/CompSummary/HP0034
NHN두레이,https://www.catch.co.kr/Comp/CompSummary/OO4619
비아이씨엔에스,https://www.catch.co.kr/Comp/CompSummary/129731
엔씨아이티에스,https://www.catch.co.kr/Comp/CompSummary/125295
와이즈에이아이,https://www.catch.co.kr/Comp/CompSummary/LF7949
엔글,https://www.catch.co.kr/Comp/CompSummary/HI2797
스튜디오리코,https://www.catch.co.kr/Comp/CompSummary/IR8029
뉴지니,https://www.catch.co.kr/Comp/CompSummary/G93657
한국선불카드,https://www.catch.co.kr/Comp/CompSummary/H63723
헤리트,https://www.catch.co.kr/Comp/CompSummary/136803
마카롱팩토리,https://www.catch.co.kr/Comp/CompSummary/HD7144
모비루스,https://www.catch.co.kr/Comp/CompSummary/499658
펑션베이,https://www.catch.co.kr/Comp/CompSummary/126324
엔에이치엔엔터프라이즈,https://www.catch.co.kr/Comp/CompSummary/MI5368
단꿈아이,https://www.catch.co.kr/Comp/CompSummary/JT8621
쉬프트정보통신,https://www.catch.co.kr/Comp/CompSummary/215848
이디비,https://www.catch.co.kr/Comp/CompSummary/451787
에이모,https://www.catch.co.kr/Comp/CompSummary/HO4167
네이버랩스,https://www.catch.co.kr/Comp/CompSummary/IM3435
휴피스,https://www.catch.co.kr/Comp/CompSummary/C20699
에이엔게임즈,https://www.catch.co.kr/Comp/CompSummary/153864
NHN에듀,https://www.catch.co.kr/Comp/CompSummary/E59721
마음에이아이,https://www.catch.co.kr/Comp/CompSummary/L42035
카플,https://www.catch.co.kr/Comp/CompSummary/OO7766
웹젠레드코어,https://www.catch.co.kr/Comp/CompSummary/JI0436
엔트리브소프트,https://www.catch.co.kr/Comp/CompSummary/373385
한컴아카데미,https://www.catch.co.kr/Comp/CompSummary/LC3942
엔에스데블,https://www.catch.co.kr/Comp/CompSummary/E60121
유디에스,https://www.catch.co.kr/Comp/CompSummary/IX6733
에스투더블유,https://www.catch.co.kr/Comp/CompSummary/JH0600
플레인비트,https://www.catch.co.kr/Comp/CompSummary/J81892
쏠리드랩스,https://www.catch.co.kr/Comp/CompSummary/MI3461
엔에이치엔패션고코리아,https://www.catch.co.kr/Comp/CompSummary/OZ3994
씨엠엔피,https://www.catch.co.kr/Comp/CompSummary/JQ6560
투라인코드,https://www.catch.co.kr/Comp/CompSummary/J02152
마크티,https://www.catch.co.kr/Comp/CompSummary/IT8427
샵링커지앤씨,https://www.catch.co.kr/Comp/CompSummary/F09416
지에스아이엘,https://www.catch.co.kr/Comp/CompSummary/J13053
온더아이티,https://www.catch.co.kr/Comp/CompSummary/131766
큐픽스,https://www.catch.co.kr/Comp/CompSummary/HI2394
에이아이매틱스,https://www.catch.co.kr/Comp/CompSummary/287660
NHN데이터,https://www.catch.co.kr/Comp/CompSummary/499248
티맥스에이앤씨,https://www.catch.co.kr/Comp/CompSummary/HL4060
위메이드엑스알,https://www.catch.co.kr/Comp/CompSummary/G52020
포인트뱅크,https://www.catch.co.kr/Comp/CompSummary/C80501
드림모션,https://www.catch.co.kr/Comp/CompSummary/HR9409
글라이드,https://www.catch.co.kr/Comp/CompSummary/JQ2406
컬쳐히어로,https://www.catch.co.kr/Comp/CompSummary/CD2487
애니펜,https://www.catch.co.kr/Comp/CompSummary/B0070
다리소프트,https://www.catch.co.kr/Comp/CompSummary/B0167
딥인사이트,https://www.catch.co.kr/Comp/CompSummary/B0153
앤유,https://www.catch.co.kr/Comp/CompSummary/B0326
에프앤에스홀딩스,https://www.catch.co.kr/Comp/CompSummary/B0060
엔닷라이트,https://www.catch.co.kr/Comp/CompSummary/B0059
딥엑스,https://www.catch.co.kr/Comp/CompSummary/B0112
정도파트너스,https://www.catch.co.kr/Comp/CompSummary/B0125
하이크비전코리아,https://www.catch.co.kr/Comp/CompSummary/6EB38
스냅태그,https://www.catch.co.kr/Comp/CompSummary/B0629
인이지,https://www.catch.co.kr/Comp/CompSummary/B0889
넥슨유니버스,https://www.catch.co.kr/Comp/CompSummary/GR194
시큐리티플랫폼,https://www.catch.co.kr/Comp/CompSummary/HG2595
피맥스,https://www.catch.co.kr/Comp/CompSummary/A001P
엑소시스템즈,https://www.catch.co.kr/Comp/CompSummary/A002I
다날핀테크,https://www.catch.co.kr/Comp/CompSummary/A003S
디스이즈엔지니어링,https://www.catch.co.kr/Comp/CompSummary/A0411
씨피랩스,https://www.catch.co.kr/Comp/CompSummary/A0574
에비드넷,https://www.catch.co.kr/Comp/CompSummary/A0650
블로코,https://www.catch.co.kr/Comp/CompSummary/A0656
원익로보틱스,https://www.catch.co.kr/Comp/CompSummary/A0965
델리오,https://www.catch.co.kr/Comp/CompSummary/A0973
리벨리온,https://www.catch.co.kr/Comp/CompSummary/A1040
엔에이치엔코미코코리아,https://www.catch.co.kr/Comp/CompSummary/A1543
엔에이치엔아카데미,https://www.catch.co.kr/Comp/CompSummary/A1545
티맥스핀테크,https://www.catch.co.kr/Comp/CompSummary/A1716
애커튼테크놀로지서비스,https://www.catch.co.kr/Comp/CompSummary/A1793
엔에이치엔토스트캠,https://www.catch.co.kr/Comp/CompSummary/A1890
티맥스클라우드,https://www.catch.co.kr/Comp/CompSummary/A1911
쓰리뷰,https://www.catch.co.kr/Comp/CompSummary/A3EE9
SK(주) C&C,https://www.catch.co.kr/Comp/CompSummary/A90BF
엔씨소프트(판교알앤디센터지점),https://www.catch.co.kr/Comp/CompSummary/AE74B
엔스테이지,https://www.catch.co.kr/Comp/CompSummary/JN6663
케이크,https://www.catch.co.kr/Comp/CompSummary/LW2800
베스텔라랩,https://www.catch.co.kr/Comp/CompSummary/JF7752
수퍼트리,https://www.catch.co.kr/Comp/CompSummary/IO8881
와드(캐치테이블),https://www.catch.co.kr/Comp/CompSummary/HV9227
카카오헬스케어,https://www.catch.co.kr/Comp/CompSummary/OY6276
티맥스클라우드,https://www.catch.co.kr/Comp/CompSummary/A1911
쓰리뷰,https://www.catch.co.kr/Comp/CompSummary/A3EE9
SK(주) C&C,https://www.catch.co.kr/Comp/CompSummary/A90BF
엔씨소프트(판교알앤디센터지점),https://www.catch.co.kr/Comp/CompSummary/AE74B
엔스테이지,https://www.catch.co.kr/Comp/CompSummary/JN6663
케이크,https://www.catch.co.kr/Comp/CompSummary/LW2800
베스텔라랩,https://www.catch.co.kr/Comp/CompSummary/JF7752
수퍼트리,https://www.catch.co.kr/Comp/CompSummary/IO8881
와드(캐치테이블),https://www.catch.co.kr/Comp/CompSummary/HV9227
카카오헬스케어,https://www.catch.co.kr/Comp/CompSummary/OY6276
